,Cumulative_R,Timestamp
220,0.0140462690724,1126
221,0.0145535440083,1127
222,0.0141046882062,1128
223,0.0131856330281,1129
224,0.0142513850482,1130
225,0.0136076712371,1131
226,0.0131136884639,1132
227,0.0133540124369,1133
228,0.014259925489,1134
229,0.0139074528089,1135
230,0.0136924805449,1136
231,0.0120606224461,1137
232,0.0119467708201,1138
233,0.0126124449008,1139
234,0.0131615304025,1140
235,0.0137109495401,1141
236,0.0140241671458,1142
237,0.0149440325736,1143
238,0.0145088985127,1144
239,0.0142689345789,1145
240,0.0144530082511,1146
241,0.0133140969771,1147
242,0.0125370247318,1148
243,0.0130430941217,1149
244,0.013892727501,1150
245,0.014250799826,1151
246,0.0140359159923,1152
247,0.0137442198135,1153
248,0.0137578435929,1154
249,0.0143638623749,1155
250,0.0141338970574,1156
251,0.0140199433409,1157
252,0.0139630191931,1158
253,0.0137933872467,1159
254,0.0143326259668,1160
255,0.0141518276133,1161
256,0.0139982231531,1162
257,0.014322151379,1163
258,0.0147254034881,1164
259,0.0146560548026,1165
260,0.0145281006346,1166
261,0.0142206967971,1167
262,0.0146222724307,1168
263,0.0151175550396,1169
264,0.0152446528154,1170
265,0.0160807510216,1171
266,0.0159784494697,1172
267,0.016111916375,1173
268,0.0161829801102,1174
269,0.0159069600671,1175
270,0.0153244566726,1176
271,0.0152374094957,1177
272,0.0147020108807,1178
273,0.0140428248405,1179
274,0.0129063675479,1180
275,0.0123895479242,1181
276,0.0122122334779,1182
277,0.0127345253174,1183
278,0.0125527723531,1184
279,0.012548578173,1185
280,0.0123089945649,1186
281,0.0121394931137,1187
282,0.0118648414772,1188
283,0.0114133695341,1189
284,0.0113431587693,1190
285,0.0122232953973,1191
286,0.0122833167275,1192
287,0.0122012819839,1193
288,0.0125753147914,1194
289,0.0120398044758,1195
290,0.0125691304791,1196
291,0.0134506725815,1197
292,0.0136620099851,1198
293,0.0143611346496,1199
294,0.0140275798849,1200
295,0.0144058173785,1201
296,0.0147570667285,1202
297,0.0145633754487,1203
298,0.0148534468413,1204
299,0.0151238263315,1205
300,0.0150762922788,1206
301,0.0154988424774,1207
302,0.0158099873701,1208
303,0.0160613986459,1209
304,0.0162461702775,1210
305,0.0161273420241,1211
306,0.015853753988,1212
307,0.0159489603446,1213
308,0.0160482175734,1214
309,0.0163125308103,1215
310,0.0165544123866,1216
311,0.0163576812763,1217
312,0.0163067643667,1218
313,0.016834317242,1219
314,0.0167259687037,1220
315,0.0167980238898,1221
316,0.0169915475314,1222
317,0.0169974952865,1223
318,0.0169959512763,1224
319,0.0170505843807,1225
320,0.0168231888796,1226
321,0.016784152129,1227
322,0.0170742524926,1228
323,0.0169561307888,1229
324,0.017036732248,1230
325,0.0167454358673,1231
326,0.0167632144408,1232
327,0.0163916057576,1233
328,0.0163722871461,1234
329,0.0165110138451,1235
330,0.0162814393074,1236
331,0.0165947257674,1237
332,0.0165359764426,1238
333,0.0162865255777,1239
334,0.0157367760261,1240
335,0.0158720445527,1241
336,0.015732490635,1242
337,0.0160251429062,1243
338,0.0160863243497,1244
339,0.0158173551342,1245
340,0.0158138219994,1246
341,0.0157544898905,1247
342,0.0157971677187,1248
343,0.0156659537944,1249
344,0.0159270252592,1250
345,0.0158188710259,1251
346,0.0153460942003,1252
347,0.0150628176062,1253
348,0.0146483113003,1254
349,0.0143609014798,1255
350,0.0148415470508,1256
351,0.0148514913137,1257
352,0.0150666821813,1258
353,0.015175754813,1259
354,0.0149806396037,1260
355,0.0147131764561,1261
356,0.0140669816979,1262
